순위,키워드,최대 TF-IDF,평균 TF-IDF,편차
45,호텔,0.754823851709704,0.02604707226559563,0.7287767794441083
46,시루,0.7418513131252501,0.014678344344667072,0.727172968780583
47,모집,0.7268780908726103,0.0009808439146870268,0.7258972469579233
48,광기,0.7255915085995381,0.0017301498541974344,0.7238613587453407
49,당근,0.7247044235967562,0.0011527320055024052,0.7235516915912539
50,종시,0.7200410289028094,0.0006164734836496655,0.7194245554191597
51,오브,0.7198515636324613,0.0009715253408178543,0.7188800382916434
52,콩국수,0.7153472969874333,0.000612454877557734,0.7147348421098755
53,상대방,0.7150180752527578,0.0006121730096342105,0.7144059022431236
54,후쿠오카,0.7117118235526574,0.0006093423146854944,0.7111024812379719
55,닭강정,0.7102315220408586,0.0007403039621974244,0.7094912180786612
56,세트,0.7082471818320452,0.002318084293405661,0.7059290975386395
57,보리밥,0.7066604687162822,0.0007893494833974244,0.7058711192328848
58,소소,0.7063920723013565,0.000604787733134723,0.7057872845682217
59,축제,0.7156358394255231,0.011344375436277539,0.7042914639892456
60,황톳길,0.7053808089780639,0.0011490391759142757,0.7042317698021496
61,국밥,0.7201951423231244,0.017828616013698447,0.702366526309426
62,윈덤,0.7031995356003791,0.0010495876633786272,0.7021499479370005
63,불꽃,0.7031072236633205,0.0010332430232854368,0.702073980640035
64,우람,0.6971718123939201,0.0008617686377223185,0.6963100437561978
65,대전역,0.7096582787493725,0.014189700900421298,0.6954685778489512
66,진로,0.6975078633840689,0.00556746485633337,0.6919403985277355
67,할인,0.6991071242948393,0.007279480988748426,0.6918276433060909
68,고기,0.6959012327676616,0.004410916929096611,0.691490315838565
69,캐리어,0.6914836313276039,0.002364748258481956,0.689118883069122
70,미술관,0.6962509878672803,0.007740576439564725,0.6885104114277156
71,노래,0.6891580962906791,0.0013315872119992935,0.6878265090786798
72,연어,0.6884108369069365,0.0013158822087694219,0.6870949546981671
73,몽골리안,0.6850758268453528,0.0005865375229840349,0.6844892893223689
74,선샤인,0.6835663846717269,0.0005852451923559306,0.682981139479371
75,테미,0.6851130980073087,0.003048033021487511,0.6820650649858212
76,월드,0.6868664119909663,0.0056726457135170705,0.6811937662774492
77,캄보디아,0.6815151537858072,0.0005834890015289445,0.6809316647842782
78,소고기,0.6821206148798665,0.0016692222329171582,0.6804513926469493
79,흥신소,0.679423415201809,0.0005816981294536036,0.6788417170723554
80,문화원,0.6819781842402258,0.003141093089428688,0.6788370911507972
81,이기길,0.6772826227506855,0.000579865259204354,0.6767027574914811
82,상인,0.6765627561997503,0.0005792489351025259,0.6759835072646477
83,가을,0.6808917034142324,0.005714290531695111,0.6751774128825373
84,능정,0.6765643702003179,0.001403452480680146,0.6751609177196377
85,블록,0.6722535616157929,0.0007737116816339943,0.6714798499341589
86,공항,0.6728974974302238,0.0025366601874588835,0.6703608372427649
87,선수,0.6702319940674887,0.0015326328704870717,0.6686993611970016
88,오프,0.6677903260008327,0.0009695093013974381,0.6668208166994353
89,참치,0.6667125833266345,0.0010645216443588138,0.6656480616822757
90,내일,0.6648802758884027,0.001817839571107601,0.6630624363172951
91,유등천,0.6634656422439037,0.000568035652606082,0.6628976065912976
92,마트,0.6632832499479951,0.000567879494818489,0.6627153704531766
93,심당,0.7029377491274836,0.04030951541652328,0.6626282337109604
94,추천,0.6850892486775007,0.02409123898985471,0.660998009687646
95,모텔,0.6623364714449637,0.0016274440449876434,0.6607090273999761
96,빙수,0.6632628330741558,0.003966640844876364,0.6592961922292794
97,칸토,0.6581766471744417,0.0005635074034027755,0.6576131397710389
98,규규,0.6547666040637041,0.0005605878459449522,0.6542060162177592
