순위,키워드,최대 TF-IDF,평균 TF-IDF,편차
59,점포,0.7205397994201044,0.0007873251147387196,0.7197524743053657
60,선물,0.724539169324113,0.004837105428357765,0.7197020638957552
61,막창,0.7414158233212211,0.021903187184117007,0.7195126361371041
62,코스,0.7350627609500646,0.01870066430073728,0.7163620966493274
63,더기,0.7160018303818239,0.000619378746005038,0.7153824516358188
64,카페,0.7364053967354868,0.02505581285629963,0.7113495838791871
65,내일,0.7122529994648651,0.0012697707639441555,0.7109832287009209
66,옥수수,0.7096816983096822,0.0011247430544894781,0.7085569552551927
67,라멘,0.706802500463918,0.002463111085355305,0.7043393893785627
68,대패,0.7046559505633455,0.0006095639710755584,0.7040463865922699
69,고택,0.7075912703271537,0.004660943023881705,0.702930327303272
70,짱구,0.70498406459237,0.0024532360926436594,0.7025308284997263
71,공룡,0.7015968471449129,0.0009449479858002877,0.7006518991591126
72,가동,0.7010269681575704,0.0006064247129390747,0.7004205434446313
73,진밭,0.700751090943633,0.0009212482696566576,0.6998298426739763
74,구름,0.7015665779161984,0.0023581024817200054,0.6992084754344784
75,앞산,0.704475553126518,0.005518430480142847,0.6989571226463751
76,신사,0.6994913651999429,0.0009558427289864436,0.6985355224709565
77,교동,0.7044182337441733,0.0071458485916211616,0.6972723851525522
78,서문시장,0.7079985889498022,0.011344856641070955,0.6966537323087312
79,마루,0.6959609257582573,0.0007609768998601377,0.6951999488583972
80,과학관,0.6973706258632141,0.002362195499814403,0.6950084303633997
81,보관,0.6962677014469604,0.0018150077241264118,0.6944526937228339
82,능금,0.6952198922025726,0.0010838503044081113,0.6941360418981645
83,모남,0.6934652312098432,0.0005998834180015944,0.6928653477918416
84,빵집,0.6985177918990887,0.006014198551357852,0.6925035933477308
85,대창,0.6915542525399804,0.0008614829072240735,0.6906927696327563
86,여행사,0.6910072265819877,0.002922951134429787,0.6880842754475579
87,관광호텔,0.68855617311076,0.0005956368279504844,0.6879605362828095
88,리조,0.6877836964901543,0.0005949685955797182,0.6871887278945745
89,케밥,0.6855256016052976,0.0005930152263021606,0.6849325863789955
90,학관,0.6870143859531322,0.0030954129773298534,0.6839189729758024
91,와인,0.6837389602338024,0.0007530941357757767,0.6829858660980267
92,아침밥,0.6833154515735405,0.0008246264066335599,0.6824908251669068
93,소품,0.6893817537030794,0.007749077189181601,0.6816326765138978
94,약령시,0.679621567996251,0.0010857121339257034,0.6785358558623252
95,누나,0.6792151209071566,0.0007464909095045143,0.6784686299976521
96,사시미,0.6788320217731414,0.0013951729390315683,0.6774368488341098
97,마산,0.6779993067358058,0.00101912558219985,0.6769801811536059
98,산점,0.6765332053333566,0.0007448282300242268,0.6757883771033324
99,깅이,0.6755868724702392,0.0005844177097493418,0.6750024547604898
100,레인,0.6731806153895052,0.000582336172482271,0.672598279217023
101,오징어무침,0.6744731451036748,0.0022848748664593427,0.6721882702372155
102,연어,0.6729166938795518,0.0008083737404823824,0.6721083201390694
103,유럽,0.672676236036302,0.001274368681794115,0.6714018673545079
104,세제,0.670045751162262,0.0005796243522164895,0.6694661268100455
